id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus,alaGuid,endemicCandidate,endemicCandidateNotes,conservationStatusCandidate,conservationStatusCandidateRaw,bioCandidate,imageUrlCandidate,imageAttributionCandidate,fluStatusCandidate,scriptStatus,scriptError
21,greater-bilby,Greater Bilby,Macrotis lagotis,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/d4fe643e-881f-49de-a8c9-628d5bce2e24,,,,,,,,,done,
22,greater-stick-nest-rat,Greater Stick-nest Rat,Leporillus conditor,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/cce5d053-414a-40e0-87bd-ab8012287068,,,,,,,,,done,
23,helmeted-honeyeater,Helmeted Honeyeater,Lichenostomus melanops cassidix,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/c74c3d35-c98c-4ef0-93bf-b9b6ace016b1,,,,,,,,,done,
24,leadbeaters-possum,Leadbeater's Possum,Gymnobelideus leadbeateri,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/d051536b-5b94-4317-a2b0-344a2ef25616,,,,,,,,,done,
25,magpie-goose,Magpie Goose,Anseranas semipalmata,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/8303d47d-200c-463a-aca0-a087260b00c1,,,,,,,,,done,
26,mala-rufous-hare-wallaby,Mala (Rufous Hare-wallaby),Lagorchestes hirsutus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/6e3213e1-c33b-45ae-9e05-6019211dd454,,,,,,,,,done,
27,mallee-emu-wren,Mallee Emu-wren,Stipiturus mallee,bird,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/75f38563-ec77-45dc-9165-29537c5e7291,,,,,,,,,done,
28,mountain-pygmy-possum,Mountain Pygmy-possum,Burramys parvus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/027e288a-6cdd-4ff8-9ef5-4d4b5690783d,,,,,,,,,done,
29,new-holland-mouse,New Holland Mouse,Pseudomys novaehollandiae,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/0058f9b2-a9c1-49a2-811b-9b2efcc8e279,,,,,,,,,done,
30,new-zealand-fur-seal,New Zealand Fur Seal,Arctocephalus forsteri,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/598c4bf0-8b45-4abd-8eee-7eb488973afa,,,,,,,,,done,
31,numbat,Numbat,Myrmecobius fasciatus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/2b493cde-13bf-4144-a270-7be0f38d7cc0,,,,,,,,,done,
32,orange-bellied-parrot,Orange-bellied Parrot,Neophema chrysogaster,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,,,,,,,,,,done,
33,parma-wallaby,Parma Wallaby,Notamacropus parma,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/93d8dfb7-fc66-4d39-b46a-1b4a531ab6cb,,,,,,,,,done,
34,plains-wanderer,Plains-wanderer,Pedionomus torquatus,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/30b4b2e5-0d5b-46cb-bddb-a2137a35fa2c,,,,,,,,,done,
35,platypus,Platypus,Ornithorhynchus anatinus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/ac61fd14-4950-4566-b384-304bd99ca75f,,,,,,,,,done,
36,quokka,Quokka,Setonix brachyurus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/a2074cb8-e146-452c-b326-e2b583f51cc6,,,,,,,,,done,
37,rakali-water-rat,Rakali (Water-rat),Hydromys chrysogaster,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/7f791f55-1d6f-4448-91a0-996daa72081c,,,,,,,,,done,
38,recherche-cape-barren-goose,Recherche Cape Barren Goose,Cereopsis novaehollandiae hollandiaegregis,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,,,,,,,,,,done,
39,red-tailed-phascogale,Red-tailed Phascogale,Phascogale calura,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/0ed8d52e-d2ad-4e2d-99ad-16da31618c1b,,,,,,,,,done,
40,regent-honeyeater,Regent Honeyeater,Anthochaera phrygia,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,,,,,,,,,,done,
41,short-tailed-shearwater,Short-tailed Shearwater,Puffinus tenuirostris,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,,,,,,,,,,done,
42,shy-albatross,Shy Albatross,Thalassarche cauta,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/b0592117-21ee-4351-a745-cea3e2cbcfcf,,,,,,,,,done,
43,smoky-mouse,Smoky Mouse,Pseudomys fumeus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/fffbb38d-6da5-4f88-bb1e-6bf0ef6af1b6,,,,,,,,,done,
44,southern-brown-bandicoot,Southern Brown Bandicoot,Isoodon obesulus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/e9e85f33-224c-40ce-b48d-290d1a41eb9d,,,,,,,,,done,
45,spotted-tailed-quoll,Spotted-tailed Quoll,Dasyurus maculatus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/73c23669-c491-42d0-83b3-6fd84a03689a,,,,,,,,,done,
46,subantarctic-fur-seal,Subantarctic Fur Seal,Arctocephalus tropicalis,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/cc917a18-4833-4983-af35-84e65228487e,,,,,,,,,done,
47,swift-parrot,Swift Parrot,Lathamus discolor,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,,,,,,,,,done,
48,tasmanian-devil,Tasmanian Devil,Sarcophilus harrisii,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/c6b5ff5a-a991-4972-b5b0-4214141d5bd6,,,,,,,,,done,
49,tasmanian-masked-owl,Tasmanian Masked Owl,Tyto novaehollandiae castanops,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/2c30d58b-572b-4dab-8644-b222c28eb0ec,,,,,,,,,done,
50,tasmanian-wedge-tailed-eagle,Tasmanian Wedge-tailed Eagle,Aquila audax fleayi,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/135f338b-bfd8-4b3f-b9ec-609e06a07848,,,,,,,,,done,
51,wedge-tailed-eagle,Wedge-tailed Eagle,Aquila audax,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/135f338b-bfd8-4b3f-b9ec-609e06a07848,,,,,,,,,done,
52,western-ground-parrot,Western Ground Parrot,Pezoporus flaviventris,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/bfeb0f1a-5581-4034-ba30-e330fe233af6,,,,,,,,,done,
53,anous-tenuirostris-melanops,Houtman Abrolhos Lesser Noddy,Anous tenuirostris melanops,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/64b6b0d7-9358-4e0c-8f28-220f069b0d0e,,,,,,,,,done,
54,pterodroma-heraldica,Herald Petrel,Pterodroma heraldica,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,,,,,,,,,,done,
55,leucocarbo-atriceps-nivalis,"Imperial Shag (Heard Island), Heard Shag",Leucocarbo atriceps nivalis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/a9fa919f-b99d-4dd9-ac34-cf4599776c73,,,,,,,,,done,
56,leucocarbo-atriceps-purpurascens,Imperial Shag (Macquarie Island),Leucocarbo atriceps purpurascens,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/92d9e655-49c1-4ba7-a8b3-4e5cc0adda6c,,,,,,,,,done,
57,stenella-longirostris,Long-snouted Spinner Dolphin,Stenella longirostris,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/47768940-d139-46b4-8be1-e883afdef248,,,,,,,,,done,
58,steno-bredanensis,Rough-toothed Dolphin,Steno bredanensis,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/1ea36593-b80c-4bb6-ad75-2508675c4c8e,,,,,,,,,done,
59,lagenodelphis-hosei,Fraser's Dolphin,Lagenodelphis hosei,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/9a3c1090-cf5f-40bf-a663-62a9a21509d6,,,,,,,,,done,
60,lagenorhynchus-cruciger,Hourglass Dolphin,Lagenorhynchus cruciger,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/38320416-8cdf-4292-bf3f-25d91b0ef3fa,,,,,,,,,done,
